,amfi_code,sortino_ratio
0,100016,-0.47402908617626455
1,100025,-0.9377897662789829
2,100033,1.978241556373355
3,101206,1.9366676325553622
4,101207,0.0753716270581586
5,101208,-0.9431212023186247
6,102885,1.5089884882462232
7,102886,-0.4995812414092814
8,102887,1.0806965406714304
9,118632,2.006101046625039
10,118633,1.169260488689791
11,118634,0.6091109756816399
12,118635,1.1657727618226195
13,118636,-0.5951176201300644
14,119092,-0.04497554821913929
15,119093,0.13462529998869233
16,119094,1.809615040409349
17,119095,-0.33880608442548255
18,119120,-0.3469943542854634
19,119551,2.355442988816458
20,119552,1.7174657209490327
21,119598,1.7338308222935819
22,119599,-0.2990071139975283
23,120503,1.395226918511735
24,120504,1.9433122233606153
25,120505,2.226878673782309
26,120506,1.1004691944415947
27,120507,2.015218074606992
28,120841,0.8446240196513872
29,120842,-0.004267457809434812
30,120843,2.636296322252091
31,120844,0.655320245610487
32,125497,1.3770186418561907
33,125498,0.4034894873523506
34,148567,2.693806285438232
35,148568,1.728182798786065
36,148569,2.374829157719793
37,149322,0.7303459230348194
38,149323,2.042241624348083
39,149324,1.6797047388973154
